"","hits","date","keyword","geo","time","gprop","category"
"137","68",2023-03-22 12:24:00,"Bitcoin","US","now 1-d","web",0
"138","72",2023-03-22 12:32:00,"Bitcoin","US","now 1-d","web",0
"139","64",2023-03-22 12:40:00,"Bitcoin","US","now 1-d","web",0
"140","62",2023-03-22 12:48:00,"Bitcoin","US","now 1-d","web",0
"141","60",2023-03-22 12:56:00,"Bitcoin","US","now 1-d","web",0
"142","65",2023-03-22 13:04:00,"Bitcoin","US","now 1-d","web",0
"143","58",2023-03-22 13:12:00,"Bitcoin","US","now 1-d","web",0
"144","64",2023-03-22 13:20:00,"Bitcoin","US","now 1-d","web",0
"145","62",2023-03-22 13:28:00,"Bitcoin","US","now 1-d","web",0
"146","68",2023-03-22 13:36:00,"Bitcoin","US","now 1-d","web",0
"147","55",2023-03-22 13:44:00,"Bitcoin","US","now 1-d","web",0
"148","67",2023-03-22 13:52:00,"Bitcoin","US","now 1-d","web",0
"149","59",2023-03-22 14:00:00,"Bitcoin","US","now 1-d","web",0
"150","64",2023-03-22 14:08:00,"Bitcoin","US","now 1-d","web",0
"151","64",2023-03-22 14:16:00,"Bitcoin","US","now 1-d","web",0
"152","62",2023-03-22 14:24:00,"Bitcoin","US","now 1-d","web",0
"153","60",2023-03-22 14:32:00,"Bitcoin","US","now 1-d","web",0
"154","61",2023-03-22 14:40:00,"Bitcoin","US","now 1-d","web",0
"155","63",2023-03-22 14:48:00,"Bitcoin","US","now 1-d","web",0
"156","62",2023-03-22 14:56:00,"Bitcoin","US","now 1-d","web",0
"157","60",2023-03-22 15:04:00,"Bitcoin","US","now 1-d","web",0
"158","62",2023-03-22 15:12:00,"Bitcoin","US","now 1-d","web",0
"159","62",2023-03-22 15:20:00,"Bitcoin","US","now 1-d","web",0
"160","60",2023-03-22 15:28:00,"Bitcoin","US","now 1-d","web",0
"161","62",2023-03-22 15:36:00,"Bitcoin","US","now 1-d","web",0
"162","59",2023-03-22 15:44:00,"Bitcoin","US","now 1-d","web",0
"163","58",2023-03-22 15:52:00,"Bitcoin","US","now 1-d","web",0
"164","59",2023-03-22 16:00:00,"Bitcoin","US","now 1-d","web",0
"165","60",2023-03-22 16:08:00,"Bitcoin","US","now 1-d","web",0
"166","57",2023-03-22 16:16:00,"Bitcoin","US","now 1-d","web",0
"167","59",2023-03-22 16:24:00,"Bitcoin","US","now 1-d","web",0
"168","63",2023-03-22 16:32:00,"Bitcoin","US","now 1-d","web",0
"169","57",2023-03-22 16:40:00,"Bitcoin","US","now 1-d","web",0
"170","58",2023-03-22 16:48:00,"Bitcoin","US","now 1-d","web",0
"171","56",2023-03-22 16:56:00,"Bitcoin","US","now 1-d","web",0
"172","57",2023-03-22 17:04:00,"Bitcoin","US","now 1-d","web",0
"173","56",2023-03-22 17:12:00,"Bitcoin","US","now 1-d","web",0
"174","60",2023-03-22 17:20:00,"Bitcoin","US","now 1-d","web",0
"175","56",2023-03-22 17:28:00,"Bitcoin","US","now 1-d","web",0
"176","56",2023-03-22 17:36:00,"Bitcoin","US","now 1-d","web",0
"177","54",2023-03-22 17:44:00,"Bitcoin","US","now 1-d","web",0
