,hits,date,keyword,geo,time,gprop,category
216,24,12/1/2021,Bitcoin,US,all,web,0
217,29,1/1/2022,Bitcoin,US,all,web,0
218,23,2/1/2022,Bitcoin,US,all,web,0
219,19,3/1/2022,Bitcoin,US,all,web,0
220,15,4/1/2022,Bitcoin,US,all,web,0
221,22,5/1/2022,Bitcoin,US,all,web,0
222,29,6/1/2022,Bitcoin,US,all,web,0
223,21,7/1/2022,Bitcoin,US,all,web,0
224,14,8/1/2022,Bitcoin,US,all,web,0
225,14,9/1/2022,Bitcoin,US,all,web,0
226,11,10/1/2022,Bitcoin,US,all,web,0
227,18,11/1/2022,Bitcoin,US,all,web,0
228,13,12/1/2022,Bitcoin,US,all,web,0
229,12,1/1/2023,Bitcoin,US,all,web,0
230,12,2/1/2023,Bitcoin,US,all,web,0
231,13,3/1/2023,Bitcoin,US,all,web,0
232,0,1/1/2004,Bitcoin,IN,all,web,0
233,0,2/1/2004,Bitcoin,IN,all,web,0
234,0,3/1/2004,Bitcoin,IN,all,web,0
235,0,4/1/2004,Bitcoin,IN,all,web,0
236,1,5/1/2004,Bitcoin,IN,all,web,0
237,0,6/1/2004,Bitcoin,IN,all,web,0
238,0,7/1/2004,Bitcoin,IN,all,web,0
239,0,8/1/2004,Bitcoin,IN,all,web,0
240,0,9/1/2004,Bitcoin,IN,all,web,0
241,0,10/1/2004,Bitcoin,IN,all,web,0
242,0,11/1/2004,Bitcoin,IN,all,web,0
243,<1,12/1/2004,Bitcoin,IN,all,web,0
244,0,1/1/2005,Bitcoin,IN,all,web,0
245,0,2/1/2005,Bitcoin,IN,all,web,0
246,0,3/1/2005,Bitcoin,IN,all,web,0
247,1,4/1/2005,Bitcoin,IN,all,web,0
248,<1,5/1/2005,Bitcoin,IN,all,web,0
249,0,6/1/2005,Bitcoin,IN,all,web,0
250,0,7/1/2005,Bitcoin,IN,all,web,0
251,0,8/1/2005,Bitcoin,IN,all,web,0
252,0,9/1/2005,Bitcoin,IN,all,web,0
253,0,10/1/2005,Bitcoin,IN,all,web,0
254,<1,11/1/2005,Bitcoin,IN,all,web,0
255,1,12/1/2005,Bitcoin,IN,all,web,0
256,0,1/1/2006,Bitcoin,IN,all,web,0
257,<1,2/1/2006,Bitcoin,IN,all,web,0
258,<1,3/1/2006,Bitcoin,IN,all,web,0
259,0,4/1/2006,Bitcoin,IN,all,web,0
260,0,5/1/2006,Bitcoin,IN,all,web,0
261,<1,6/1/2006,Bitcoin,IN,all,web,0
262,0,7/1/2006,Bitcoin,IN,all,web,0
263,0,8/1/2006,Bitcoin,IN,all,web,0
264,0,9/1/2006,Bitcoin,IN,all,web,0
265,<1,10/1/2006,Bitcoin,IN,all,web,0
266,0,11/1/2006,Bitcoin,IN,all,web,0
267,1,12/1/2006,Bitcoin,IN,all,web,0
268,1,1/1/2007,Bitcoin,IN,all,web,0
269,0,2/1/2007,Bitcoin,IN,all,web,0
270,<1,3/1/2007,Bitcoin,IN,all,web,0
271,0,4/1/2007,Bitcoin,IN,all,web,0
272,<1,5/1/2007,Bitcoin,IN,all,web,0
273,0,6/1/2007,Bitcoin,IN,all,web,0
274,0,7/1/2007,Bitcoin,IN,all,web,0
275,0,8/1/2007,Bitcoin,IN,all,web,0
276,0,9/1/2007,Bitcoin,IN,all,web,0
277,0,10/1/2007,Bitcoin,IN,all,web,0
278,0,11/1/2007,Bitcoin,IN,all,web,0
279,0,12/1/2007,Bitcoin,IN,all,web,0
