snapped_at,price (open),market_cap,total_volume
2022-01-06 00:00:00 UTC,0.196135827,3874203.355,1565.00288
2022-01-07 00:00:00 UTC,0.185083054,3643909.848,721.2033722
2022-01-08 00:00:00 UTC,0.177880424,3504308.456,1892.414487
2022-01-09 00:00:00 UTC,0.180762886,3565015.097,241.3512567
2022-01-10 00:00:00 UTC,0.177875929,3502969.818,193.4960479
2022-01-11 00:00:00 UTC,0.175454461,3455601.713,243.2708594
2022-01-12 00:00:00 UTC,0.177484965,3487050.571,129.4640576
2022-01-13 00:00:00 UTC,0.183466668,3614051.864,47.85406057
2022-01-14 00:00:00 UTC,0.17294169,3406390.126,607.4374195
2022-01-15 00:00:00 UTC,0.178523921,3532293.544,154.8756573
2022-01-16 00:00:00 UTC,0.17797,3516417.363,81.24330491
2022-01-17 00:00:00 UTC,0.18158486,3575150.74,866.456541
2022-01-18 00:00:00 UTC,0.179505133,3538069.69,231.3981545
2022-01-19 00:00:00 UTC,0.176939791,3496118.115,57.07808416
2022-01-20 00:00:00 UTC,0.175096649,3448472.855,1256.461938
2022-01-21 00:00:00 UTC,0.170507977,3361247.414,584.8800696
2022-01-22 00:00:00 UTC,0.155692735,3076541.672,539.024141
2022-01-23 00:00:00 UTC,0.144076402,2855808.886,195.3963477
2022-01-24 00:00:00 UTC,0.126760865,2436859.958,830.1797855
2022-01-25 00:00:00 UTC,0.14555833,2867436.549,210.3828285
2022-01-26 00:00:00 UTC,0.12064402,2376552.721,248.5527376
2022-01-27 00:00:00 UTC,0.122768906,2424123.974,62.90615381
2022-01-28 00:00:00 UTC,0.118561505,2329735.806,94.92914491
2022-01-29 00:00:00 UTC,0.125636839,2478503.562,624.0758965
2022-01-30 00:00:00 UTC,0.112134016,2209290.778,67.43601005
2022-01-31 00:00:00 UTC,0.109405312,2167196.383,76.01979953
2022-02-01 00:00:00 UTC,0.115317204,2275541.412,1309.659827
2022-02-02 00:00:00 UTC,0.115403184,2277444.323,248.9568225
2022-02-03 00:00:00 UTC,0.128992531,2546378.173,1953.759057
2022-02-04 00:00:00 UTC,0.138859141,2740199.064,427.1210868
2022-02-05 00:00:00 UTC,0.133328403,2824872.534,98.54617252
2022-02-06 00:00:00 UTC,0.128998225,2546659.088,260.9353032
2022-02-07 00:00:00 UTC,0.118955542,2343113.474,328.5523074
2022-02-08 00:00:00 UTC,0.120313488,2383525.861,47.56565188
2022-02-09 00:00:00 UTC,0.119279518,2356514.644,86.74468044
2022-02-10 00:00:00 UTC,0.123784778,2446095.63,50.22181063
2022-02-11 00:00:00 UTC,0.135798233,2692600.043,69.84285828
2022-02-12 00:00:00 UTC,0.131894237,2604280.292,42.48078756
2022-02-13 00:00:00 UTC,0.131287904,2593498.845,92.98134565
2022-02-14 00:00:00 UTC,0.127673008,2522932.395,183.3069958
2022-02-15 00:00:00 UTC,0.128224935,2531309.366,85.06097708
2022-02-16 00:00:00 UTC,0.13627081,2689771.85,59.1549505
2022-02-17 00:00:00 UTC,0.128177278,2528503.86,454.5380676
2022-02-18 00:00:00 UTC,0.124120559,2456316.574,96.55121448
2022-02-19 00:00:00 UTC,0.128286432,2537291.931,266.8074865
2022-02-20 00:00:00 UTC,0.128355511,2535821.024,549.0582836
2022-02-21 00:00:00 UTC,0.123754201,2428640.39,519.2616651
2022-02-22 00:00:00 UTC,0.127835882,2526388.707,96.41441906
2022-02-23 00:00:00 UTC,0.14176904,2787902.907,1438.853965
2022-02-24 00:00:00 UTC,0.150806887,2978222.06,317.5460166
2022-02-25 00:00:00 UTC,0.138485894,2737773.506,918.7399982
2022-02-26 00:00:00 UTC,0.145452304,2875494.783,138.7307507
2022-02-27 00:00:00 UTC,0.133166537,2654899.174,132.9670096
