Timezones are UTC,https://www.CryptoDataDownload.com,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
1535587200,8/30/2018,MONAJPY,171.5,172.9,165,167.2,37139,6242281.1
1535500800,8/29/2018,MONAJPY,173.7,174.4,170,171.5,46787,8068217.6
1535414400,8/28/2018,MONAJPY,174,175.2,171,173.7,39993,6931139.5
1535328000,8/27/2018,MONAJPY,173.7,175.5,164.6,174,59963,10273503.9
1535241600,8/26/2018,MONAJPY,174.9,176,171.1,173.7,20766,3595118.1
1535155200,8/25/2018,MONAJPY,175.7,177.9,172.5,174.9,26584,4647564.6
1535068800,8/24/2018,MONAJPY,174.9,176,171.1,175.7,29989,5217215.2
1534982400,8/23/2018,MONAJPY,171.5,175,171.2,174.9,17968,3113556.8
1534896000,8/22/2018,MONAJPY,173.6,180,171,171.5,48807,8571617.1
1534809600,8/21/2018,MONAJPY,170.5,177,170.5,173.6,27221,4738045
1534723200,8/20/2018,MONAJPY,179,183.7,170.5,170.5,39433,6969219.4
1534636800,8/19/2018,MONAJPY,178.9,182.4,174.1,179,46063,8152017.5
1534550400,8/18/2018,MONAJPY,186.4,189,173.1,178.9,61467,11040707.6
1534464000,8/17/2018,MONAJPY,172.6,189.8,172.6,186.4,93775,16786933.3
1534377600,8/16/2018,MONAJPY,172.1,177,169,172.6,69074,11919940.9
1534291200,8/15/2018,MONAJPY,175.4,189.7,170,172.1,117327,20941008.5
1534204800,8/14/2018,MONAJPY,189.7,190.4,165.2,175.4,129912,22573135.6
1534118400,8/13/2018,MONAJPY,195.3,196.1,185.2,189.7,54699,10479515.8
1534032000,8/12/2018,MONAJPY,193.5,198.4,187.1,195.3,61634,11941569.7
1533945600,8/11/2018,MONAJPY,191.6,200,172.2,193.5,140813,25820475.7
1533859200,8/10/2018,MONAJPY,216.1,221.5,186.3,191.6,145067,29834977.7
1533772800,8/9/2018,MONAJPY,164,238,162,216.1,424028,85859776.2
1533686400,8/8/2018,MONAJPY,198.1,199.9,155.2,164,113203,20918141.9
1533600000,8/7/2018,MONAJPY,204,210.9,198,198.1,56225,11484535.3
1533513600,8/6/2018,MONAJPY,207.1,223.3,201,204,76565,16209511.3
1533427200,8/5/2018,MONAJPY,210.3,214.7,199.3,207.1,75648,15481020.3
1533340800,8/4/2018,MONAJPY,216.1,220.8,208.8,210.3,43653,9341779
1533254400,8/3/2018,MONAJPY,220,223.9,210,216.1,59812,13073990.9
1533168000,8/2/2018,MONAJPY,225,231.3,220,220,39220,8836350.9
1533081600,8/1/2018,MONAJPY,229.9,236.8,222.9,225,50070,11317283.1
1532995200,7/31/2018,MONAJPY,240,242,225,229.9,67222,15635434
1532908800,7/30/2018,MONAJPY,246,246,235,240,29613,7131681.4
1532822400,7/29/2018,MONAJPY,241.8,246.1,240.9,246,30503,7437517.2
1532736000,7/28/2018,MONAJPY,244.3,244.6,239,241.8,26214,6343332.3
1532649600,7/27/2018,MONAJPY,244.8,246.4,235.8,244.3,46485,11274069.1
1532563200,7/26/2018,MONAJPY,246.2,248.1,242,244.8,37119,9139847.6
1532476800,7/25/2018,MONAJPY,247.4,253.6,245.1,246.2,55502,13808175.7
1532390400,7/24/2018,MONAJPY,247.6,251.9,242.1,247.4,88646,21876071.8
1532304000,7/23/2018,MONAJPY,243.1,252.1,242.4,247.6,55967,13872384.5
1532217600,7/22/2018,MONAJPY,246.3,248,242.1,243.1,37364,9190181.8
1532131200,7/21/2018,MONAJPY,246.9,250.5,241.4,246.3,50573,12432898.2
1532044800,7/20/2018,MONAJPY,262.8,263.9,245.5,246.9,66418,16860149.1
1531958400,7/19/2018,MONAJPY,262.7,267.5,257.1,262.8,42731,11217900.6
1531872000,7/18/2018,MONAJPY,260.8,277,259.3,262.7,134371,36019458.2
1531785600,7/17/2018,MONAJPY,255.9,265.2,244.8,260.8,115869,29505024.8
1531699200,7/16/2018,MONAJPY,244.5,255.9,242,255.9,72619,17963350.6
1531612800,7/15/2018,MONAJPY,239.3,249.9,236,244.5,63079,15331876.8
1531526400,7/14/2018,MONAJPY,232.9,239.6,230.1,239.3,37657,8843395.8
1531440000,7/13/2018,MONAJPY,227.8,239.8,226.6,232.9,65797,15338102.7
1531353600,7/12/2018,MONAJPY,236.5,238.5,222.5,227.8,51807,11957874.3
1531267200,7/11/2018,MONAJPY,233,240.4,232.7,236.5,54086,12764895.1
1531180800,7/10/2018,MONAJPY,250.6,256,231,233,65456,15775122.9
1531094400,7/9/2018,MONAJPY,258.7,259.5,250,250.6,43111,10954723.3
1531008000,7/8/2018,MONAJPY,260.4,263,256.1,258.7,46866,12162514.8
1530921600,7/7/2018,MONAJPY,262.5,263.2,251.1,260.4,39838,10255268.7
1530835200,7/6/2018,MONAJPY,263.9,271,251.4,262.5,76513,19859120.1
1530748800,7/5/2018,MONAJPY,271,277.9,260,263.9,65459,17687317.5
1530662400,7/4/2018,MONAJPY,269.6,283.3,257,271,127363,34465242.8
1530576000,7/3/2018,MONAJPY,253.2,294,251,269.6,208948,56951968.6
1530489600,7/2/2018,MONAJPY,236,269.9,231.1,253.2,111983,27485010.6
1530403200,7/1/2018,MONAJPY,236,239,225.9,236,48289,11223007.2
1530316800,6/30/2018,MONAJPY,226.1,249,225,236,141944,33817978.7
1530230400,6/29/2018,MONAJPY,221.5,238.3,211,226.1,94945,20763482.1
1530144000,6/28/2018,MONAJPY,231.3,235.2,221.1,221.5,57385,13117190
1530057600,6/27/2018,MONAJPY,237.7,239.9,225,231.3,57852,13532993.6
1529971200,6/26/2018,MONAJPY,238.3,249,235,237.7,68026,16449708.9
1529884800,6/25/2018,MONAJPY,232.8,248.8,231.1,238.3,77416,18533954.8
1529798400,6/24/2018,MONAJPY,252,255,222,232.8,143338,33804062.1
1529712000,6/23/2018,MONAJPY,264,268.2,250,252,47881,12308177
1529625600,6/22/2018,MONAJPY,291.2,292.6,256.2,264,106542,29016036.7
1529539200,6/21/2018,MONAJPY,295.6,298.9,290,291.2,29542,8688029.7
1529452800,6/20/2018,MONAJPY,297.3,300,292.1,295.6,29796,8784596.7
1529366400,6/19/2018,MONAJPY,294.5,300,291,297.3,47586,14000726.8
1529280000,6/18/2018,MONAJPY,298,302,290,294.5,49239,14439807.1
1529193600,6/17/2018,MONAJPY,298,304.7,291.5,298,30846,9199543.9
1529107200,6/16/2018,MONAJPY,297,304.2,294,298,31462,9408973.6
1529020800,6/15/2018,MONAJPY,311,311.5,295.7,297,39273,11977555.7
1528934400,6/14/2018,MONAJPY,290.9,312.8,288.6,311,70634,21430650.4
1528848000,6/13/2018,MONAJPY,324.8,324.9,288,290.9,100670,30595607.2
1528761600,6/12/2018,MONAJPY,329.5,339.6,319,324.8,40804,13373487.1
1528675200,6/11/2018,MONAJPY,324.6,339.8,315,329.5,67630,22229686.2
